stud_id,svyunit,ym,contact,teps_sex,tepsb_sex,np13v01,np13v05,np13v28,np13v29,np13v30_g,np13v30_gd,np13v31,np13v32v33_u,np13v32v33_ud,np13v34,np13v35,np13v36,np13v36_1,np13v36_2,np13v37,np13v37_1,np13v37_2,np13v38,np13v38_1,np13v38_2,np13v39,np13v39_1,np13v39_2,np13v40,np13v41,np13v42,np13v43,np13v44,np13v44_1,np13v45,np13v46,np13v47,np13v48,np13v49,np13v49_k,np13v50,np13v51,np13v52,np13v53,np13v54,np13v55,np13v56,np13v57,np13v58,np13v59,np13v60,np13v60_k,np13v61,np13v62,np13log1,np13log2
39198,1,201312,2,1,1,1,16,3,6,99,99,1,6,5,1,2,1,99,99,1,99,99,1,99,99,1,99,99,2,1,2,2,1,99,2,21,7,82,2,999,10,40,8,1,99,99,99,999,99,9999,99,999,999,99,0,0
47861,1,201312,1,2,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
45754,1,201401,0,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
45357,1,201312,1,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
33191,1,201311,1,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
47049,1,201311,2,1,1,1,1,3,6,99,99,1,6,3,1,2,1,99,99,1,99,99,1,99,99,1,99,99,2,3,1,1,99,1,2,74,4,34,2,999,10,55,6,1,99,99,99,999,99,9999,99,999,999,99,0,0
49970,1,201312,2,2,2,2,1,3,6,99,99,1,6,3,1,2,1,99,99,1,99,99,1,99,99,1,99,99,1,1,2,2,1,99,1,98,97,41,97,999,97,40,5,1,99,99,99,999,99,9999,99,999,999,99,0,0
34260,1,201401,0,2,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
41852,1,201312,2,1,1,1,5,3,2,99,99,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,1,1,99,2,39,6,51,1,2,11,40,6,2,8,1,2,51,4,51,2,999,40,5,0,0
35228,1,201311,2,2,2,2,1,3,6,99,99,1,1,3,1,2,2,1,99,1,99,99,1,99,99,1,99,99,1,1,2,2,1,99,2,69,9,34,2,999,9,78,11,1,99,99,99,999,99,9999,99,999,999,99,0,0
30153,1,201401,2,1,1,3,15,3,5,99,99,1,3,4,1,1,1,99,99,1,99,99,1,99,99,1,99,99,1,1,2,2,1,99,2,56,9,9997,97,999,10,50,7,1,99,99,99,999,99,9999,99,999,999,99,0,0
41543,2,201403,2,2,2,1,8,3,6,99,99,1,6,5,1,2,1,99,99,1,99,99,1,99,99,1,99,99,2,1,2,2,1,99,2,70,3,31,2,999,10,38,7,1,99,99,99,999,99,9999,99,999,999,99,0,0
46535,1,201312,2,1,1,3,8,3,5,99,99,1,8,5,1,1,1,99,99,1,99,99,1,99,99,1,99,99,1,1,2,2,1,99,2,27,97,9997,2,999,10,997,97,1,99,99,99,999,99,9999,99,999,999,99,0,0
36972,1,201312,0,2,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
39171,1,201312,2,1,1,1,2,3,5,99,99,1,8,3,1,1,1,99,99,1,99,99,1,99,99,1,99,99,1,1,2,2,1,99,2,25,3,31,2,999,10,40,7,1,99,99,99,999,99,9999,99,999,999,99,0,0
43016,2,201404,2,2,2,1,6,3,7,1,4,1,1,4,1,2,2,2,2,2,1,99,1,99,99,2,1,99,99,1,2,1,1,99,2,27,97,21,2,999,12,43,10,2,11,1,2,40,4,31,2,999,40,7,0,0
41760,1,201312,0,2,2,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
43724,2,201404,2,1,1,1,6,3,7,6,5,1,6,5,1,2,2,1,99,1,99,99,1,99,99,2,1,99,99,1,2,2,1,99,2,27,9,21,2,999,11,60,10,1,99,99,99,999,99,9999,99,999,999,99,0,0
39944,1,201401,1,1,1,2,16,3,1,99,99,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,2,1,1,99,2,997,97,9996,97,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
38452,1,201401,2,1,1,7,24,3,5,99,99,1,3,97,1,1,1,99,99,1,99,99,1,99,99,1,99,99,1,3,2,1,99,1,2,51,5,51,97,999,97,997,97,1,99,99,99,999,99,9999,99,999,999,99,0,0
40308,8,礚羛么筿杠(ぃ続ノ筿砐),8,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
49561,1,201401,1,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
36144,1,201312,2,1,1,1,9,3,5,99,99,1,8,5,2,1,1,99,99,1,99,99,1,99,99,1,99,99,1,3,1,2,99,99,99,999,99,9999,99,999,99,999,99,99,99,99,99,999,99,9999,99,999,999,99,0,0
45579,1,201312,2,1,1,2,8,3,6,99,99,1,6,4,1,2,2,2,1,1,99,99,2,1,99,2,1,99,2,1,2,2,1,99,2,63,97,41,2,999,11,40,5,1,99,99,99,999,99,9999,99,999,999,99,0,0
40029,1,201401,0,1,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,999,96,996,96,96,96,96,96,996,96,9996,96,999,996,96,0,0
37175,2,201404,2,1,1,2,4,3,5,99,99,1,8,3,1,2,2,2,1,1,99,99,1,99,99,1,99,99,1,3,2,1,99,1,2,26,9,81,2,999,10,70,8,1,99,99,99,999,99,9999,99,999,999,99,0,1
40401,2,201403,2,1,1,1,15,3,6,99,99,1,1,3,1,2,1,99,99,1,99,99,1,99,99,1,99,99,1,1,2,2,1,99,2,62,4,42,2,999,11,40,7,1,99,99,99,999,99,9999,99,999,999,99,0,0
48007,2,201403,2,2,2,1,2,3,6,99,99,1,6,2,1,2,1,99,99,1,99,99,1,99,99,1,99,99,2,1,2,1,1,99,2,74,3,91,2,999,12,45,5,2,10,1,2,47,3,52,2,999,48,5,0,0
46001,1,201401,2,2,2,3,24,3,5,99,99,1,3,8,1,1,1,99,99,1,99,99,97,99,99,97,99,99,97,1,97,97,1,99,2,51,97,9997,97,999,11,997,97,97,99,99,99,999,99,9999,99,999,999,99,1,0
