stud_id,w4pgrm,w4priv,w4urban3,w4all3p,w4cf3p,w4m3p,w4s1134,w4s1135,w4s1144,w4s1145,w4s120,w4s121,w4s122,w4s126,w4s409,cram,w4p229,w4p413,w4p234,w4p414,w4p503,w4faedu,w4moedu,grade_ask,deg_ask,teps_sex,tepsb_sex,np13v32v33_u,np13v32v33_ud,np13v52,edu,libart,sbl,sci,enger,agri,med,serv,else,educ,sblc,scic,engerc,agric,medc,servc,elsec
30003,1,1,1,2.0193861,2.6088395,2.0215621,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,4.0,1,1.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
30004,3,0,1,2.5997336,2.9738996,3.6151977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1,1.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
30012,1,0,2,2.815552,2.4170284,3.4101784,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,,,2.0,2.0,2.0,0.0,,0,0.0,3.0,2.0,37.5,0,0,1,0,0,0,0,0,0,,1,,,,,,
30015,2,1,2,0.17467904,0.5266825,0.35222515,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,0,0.0,4.0,1.0,42.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30016,1,0,1,2.3380704,2.4666348,2.6049268,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,,2.0,,2.0,,1.0,,,1,1.0,3.0,3.0,27.5,0,0,0,1,0,0,0,0,0,,,1,,,,,
30018,1,0,1,2.4201672,2.3175673,2.8524101,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,1,1.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
30019,3,0,0,-1.0554518,0.39715937,-2.6160102,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,2.0,,0.0,2.0,1.0,0.0,2.0,,0,0.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
30020,3,0,2,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,,,6.0,6.0,0,0.0,8.0,5.0,47.5,0,0,0,0,0,1,0,0,0,,,,,1,,,
30023,3,1,1,-0.29607958,-0.62199461,0.014116645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,0,0.0,8.0,2.0,42.5,0,0,1,0,0,0,0,0,0,,1,,,,,,
30027,1,0,2,3.2730145,2.7169065,4.6293359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,4.0,6.0,0,0.0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
