stud_id,w4pgrm,w4priv,w4urban3,w4nright,w4all3p,w4all3ps,w4cfree,w4cf3p,w4cf3ps,w4math,w4m3p,w4m3ps,w3w4plus,w3w4minus,w4link,w4illp,w1s502,w4s1081,w4s1082,w4s1083,w4s1084,w4s1085,w4s1086,w4s1134,w4s1135,w4s1136,w4s1144,w4s1145,w4s1146,w4s1151,w4s1152,w4s1153,w4s1154,w4s1155,w4s1156,w4s120,w4s121,w4s122,w4s123,w4s124,w4s125,w4s126,w4s127,w4s1281,w4s1282,w4s1283,w4s1284,w4s1285,w4s1286,w4s1291,w4s1292,w4s1293,w4s1294,w4s1295,w4s1301,w4s1302,w4s1303,w4s1304,w4s1305,w4s1306,w4s409,w4s410,w4s411,w4s415,w4s416,w4s417,w4s418,cp,w4td01,w4td02,w4td03,w4td04,w4td05,w4td06,w4td07,w4td08,w4p101,w4p102,w4p103,w4p234,w4p235,w4p229,w4p413,w4p414,w4p415,w4faedu,w4fahlth,w4moedu,w4mohlth,cp09v08_u,cp09v08_ud,cp09v23,cp13v32v33_u,cp13v32v33_ud,cp13v62,cp19v33v34,cp19v33v34_u,cp19v33v34_ud,cp19v33v34_u_x,cp19v33v34_ud_x,cp19v78,cp19v78_x,cp19v78_k_x,cp19v66,collage,department,salary1,salary2,edu,libart,social,sci,enger,farm,med_sw,serv,els,stem,sex
2,2,1,1,25,6045,4734,11,9823,5987,18,7161,995,2,3,8,8669,1,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,3,2,2,2,5,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,0,2,5,7,5,5,2,4,6,1,2,3,4,3,2,3,1,3,1,3,3,0,2,4,2,4,7,7,3,6,3,8.0,3.0,,8.0,3.0,,,,,8.0,3.0,,5.0, ,9.0,8.0,3.0,5.0,9.0,0,0,1,0,0,0,0,0,0,0,1
3,3,0,1,27,6092,6511,12,9669,9277,13,4403,8924,8,2,13,170,1,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,3,3,6,2,0,0,2,1,1,3,2,1,4,3,1,3,1,3,3,0,10,3,3,0,10,7,5,6,5,,,,,,,,,,,,,, ,,,,,,0,0,0,0,0,0,0,0,0,0,1
4,3,0,1,27,7644,5172,7,1823,11500,19,8920,2944,5,3,10,3072,0,2,2,2,2,2,0,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,2,2,2,2,0,2,2,2,2,2,0,2,5,5,6,2,6,5,4,1,2,2,3,5,4,4,3,3,1,3,3,7,3,4,6,7,5,3,5,2,5,1.0,5.0,,1.0,5.0,,,,,1.0,5.0,,, ,17.0,1.0,5.0,17.0,17.0,0,0,0,0,1,0,0,0,0,1,0
10,1,1,0,23,5165,8042,8,3937,8408,18,6786,3630,1,5,6,11638,1,2,2,2,2,2,0,2,2,0,2,2,2,0,2,2,2,2,2,1,2,2,5,1,2,2,2,0,0,2,2,0,2,2,2,2,0,2,2,0,2,2,2,2,3,2,6,3,6,5,1,1,2,2,2,3,2,2,3,3,1,3,3,2,12,4,4,2,12,3,5,2,5,,,,6.0,3.0,,,,,,,,, ,,6.0,3.0,,,0,0,1,0,0,0,0,0,0,0,1
12,3,0,1,52,13100,12738,23,12504,12349,31,12412,12252,14,15,18,12250,0,2,2,2,2,2,0,2,2,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,1,2,2,2,0,2,2,2,2,2,0,0,2,2,2,2,2,2,0,2,3,6,6,1,6,2,3,1,1,1,2,2,2,4,3,3,1,3,3,3,12,4,4,3,7,7,3,1,3,9.0,5.0,4.0,,,,,,,,,,, ,,9.0,9.0,4.0,,0,0,0,0,0,0,0,0,1,0,0
15,1,0,1,45,12635,6591,17,10397,5390,28,12403,8966,14,15,18,12250,1,2,2,2,2,2,0,2,2,0,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,0,0,0,2,2,0,0,2,2,2,2,2,6,2,2,5,4,1,4,2,5,5,2,2,3,3,1,3,3,0,5,6,6,0,5,2,3,1,3,1.0,5.0,,,,,,,,1.0,8.0,,, ,12.0,1.0,8.0,12.0,12.0,0,0,0,0,0,0,0,1,0,0,1
24,0,1,1,23,5150,7376,7,2293,9260,18,7171,385,1,3,8,9928,1,2,2,2,2,2,0,2,2,0,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,5,9,0,2,3,1,1,1,4,3,2,4,1,0,3,3,3,7,12,4,4,7,4,3,5,2,5,3.0,2.0,,3.0,2.0,,,,,3.0,2.0,,5.0, ,10.0,3.0,2.0,5.0,10.0,0,1,0,0,0,0,0,0,0,0,1
28,1,0,1,31,7791,1949,12,10205,9376,19,6842,4058,3,4,11,8609,1,2,2,2,2,2,0,2,2,0,0,2,2,0,2,2,2,2,2,1,2,2,2,1,2,2,2,0,0,0,2,2,2,2,0,0,0,2,0,0,0,2,2,2,6,6,6,2,3,0,4,1,2,2,5,5,6,3,3,3,1,3,3,6,12,4,3,6,8,6,2,1,1,9.0,3.0,4.0,9.0,3.0,,,,,,,,, ,,9.0,3.0,4.0,,0,0,1,0,0,0,0,0,0,0,1
29,3,0,1,22,4024,10894,8,3521,9692,13,4571,9805,5,1,9,1436,0,2,2,2,2,2,0,2,2,0,2,2,0,0,2,2,2,2,2,1,2,2,2,1,2,2,2,0,2,2,2,0,2,2,2,0,0,2,2,2,2,2,0,2,3,3,1,8,3,5,4,1,4,4,3,5,4,2,3,3,1,3,3,7,11,3,6,7,12,6,5,1,3,6.0,2.0,,6.0,2.0,6.0,,,,6.0,2.0,,, ,7.0,6.0,2.0,6.0,7.0,0,1,0,0,0,0,0,0,0,0,0
31,1,0,1,47,13049,9988,18,12478,7042,29,12407,9787,1,1,16,5143,1,2,2,2,2,2,0,2,2,0,2,2,0,0,2,2,2,2,2,2,2,1,2,5,2,2,2,0,2,0,2,0,2,2,2,0,2,2,0,2,2,2,2,2,5,2,6,9,3,5,4,1,1,3,2,1,2,2,3,3,1,3,3,7,12,4,4,7,3,0,5,2,5,,,,1.0,4.0,,,,,,,,, ,,1.0,4.0,,,0,0,0,1,0,0,0,0,0,1,1
