   14313 3.387988567352295 3.095062255859375   2.031358003616333114 23 5652 1 1 3 2 243255153210000010000 1 1 0 1 0 0123226344422333211 2 3 2 3 2 33112 2 4 23 33 2 21 2 1 4 1 1 0 0 0 0 1 0 2 4 3 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 2 3 1 1 1 1 1 1 2 3 3 1 2 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 2 2 2 2 2 3 4 4 3 3 3 40 0000000000000000
   243021.04513978958129881.2427200078964233  .48777449131011963114 21 1663 2 4 3 4 153166451110000000100 0 0 0 0 0 1344444644433224334 4 4 3 3 2 33113 2 4 33 33 2 12 1 4 1 6 6 0 0 0 1 1 0 2 5 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 2 1 1 2 6 6 1 1 4 5 2 2 3 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 3 3 2 2 2 4 3 4 4 4 4 4 40 0000000000000000
   252033.06116366386413571.1775835752487183  3.0727555751800537114 12 2652 2 4 3 3 244253431110000000001 0 0 0 0 0 1555222555544444444 4 4 4 4 4 44111 4 3 13 43 2 12 3 3 4 6 6 0 0 1 0 1 0 2 5 3 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 3 1 1 1 6 6 1 2 3 6 3 6 4 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 2 2 3 3 3 4 4 4 4 4 4 4 40 0000000000000000
   37203  3.631530761718751.3832725286483765    .681938886642456314 21 1653 2 2 1 4 114211311110000000100 0 0 0 0 0 1222222642612113433 3 4 3 3 4 42113 2 4 33 31 3 32 1 4 4 6 1 0 1 1 0 0 0 2 2 3 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 6 4 1 2 6 6 1 3 2 3 3 1 3 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 1 3 3 1 3 3 3 3 3 3 3 30 0000000000000000
   4230110.834085464477539 4.867875576019287  2.0239875316619873165 31 3662 2 4 2 2 241165351110000001001 0 0 0 0 0 1111141644422221244 2 3 2 2 2 44111 1 2 33 33 3 23 5 4 1 6 6 0 0 0 1 1 0 2 5 2 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 2 4 2 1 3 1 2 2 1 2 3 1 4 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 2 2 2 2 1 4 4 4 4 4 4 3 40 0000000000000000
   57413 .8945474624633789 2.321303367614746 -.43282628059387207124 31 1651 2 3 5 4 564155151410000010000 0 0 0 0 0 1422266444433114343 4 3 4 4 4 44113 4 3 13 33 3 12 1 3 4 6 6 0 0 0 0 1 0 2 6 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 2 3 1 1 2 6 1 1 2 2 2 2 4 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 1 2 2 2 2 3 4 4 4 4 4 4 4 40 0010000000000010
   652021.53871417045593261.4493376016616821  2.0994374752044678534 13 3652 1 5 1 5 134244141101000000010 1 0 1 0 0 0134362645232114423 3 3 2 3 4 44111 2 4 13 23 3 32 1 4 4 6 1 0 0 1 0 0 0 1 2 3 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 6 4 1 2 6 6 1 2 1 5 3 1 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 3 3 2 1 3 4 4 3 3 3 30 0000000000000000
   685133.6093149185180664 3.694352865219116  1.4766286611557007134 32 2663 4 6 2 6 113122221110000000010 0 0 0 0 0 1333211555544432222 2 4 3 3 1 33331 4 4 33 33 3 13 1 3 5 1 1 0 0 1 0 0 0 2 2 3 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 6 3 1 2 6 6 1 1 1 5 3 1 6 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 2 4 3 4 3 2 1 1 40 0000000000000000
   702031.8857817649841309 .7055553793907166   2.751441240310669124 12 2654 3 2 3 2 134165551201100001100 0 0 0 0 0 1116126626623334444 3 3 1 3 3 34111 4 3 32 44 2 23 2 3 1 6 6 1 1 1 1 1 0 2 5 2 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 3 2 1 2 6 1 2 3 1 3 1 6 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 1 1 2 2 3 4 4 3 3 3 3 3 30 0000000000000000
   762033.44077181816101071.1834957599639893   2.775757312774658224 12 2152 2 5 5 3 234155222101100001001 0 0 0 0 0 1446441642421232332 1 1 2 1 1 12233 2 6 13 33 2 22 1 4 5 2 1 0 0 0 0 1 0 2 4 2 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 2 1 2 1 1 1 1 3 3 2 2 2 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 3 3 2 2 3 3 3 4 2 1 3 1 40 0000000000000000
