   143133.36326813697814943.0229201316833496   2.03135800361633311331165236666631 5 5244 4100000 1 0 0 0 0 1 0 1 0 0 012322 211221113323111121 3223299 4 13 3 3 2 3244 633001010242000100 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 2431221 11631100000100110000000131221 4 3 43 432301000000000000000
   243021.03751397132873541.2137537002563477  .4877744913101196311312265126251331 6 4442 1100000 0 0 1 0 0 0 0 0 0 0 124414 564553233444444343 44111 4 4 13 3 3 2 1324 526101010252100100 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 6311261 22645600000100110000000133234 4 3 43 433300000000000000000
   25203 3.0388278961181641.1501355171203613  3.072755575180053712513165214341342 4 2411 1100000 1 0 0 0 0 0 1 1 0 0 012223 565553334344334333 33111 1 4 13 3 4 2 3264 366001000234000100 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1312662 23432400000100100000000132232 3 2 33 231400000000000000000
   372033.60503339767456051.3510301113128662    .68193888664245631421165226111442 1 1211 1100000 0 0 1 0 1 1 1 0 0 0 033555 265551313434444122 33113 2 4 12 3 3 1 2244 561000010212001000 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 6452662 22431100000111100000000121212 4 2 33 231300000000000000000
   4230110.755034446716309 4.754411220550537  2.023987531661987326421116123362411 6 5552 1100000 0 1 1 0 0 0 0 1 0 0 033633 365553343443433243 32313 2 4 12 3 3 2 1214 622000110252000100 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 2311261 21421300000100100000000132322 4 3 33 321300000000000000000
   57413  .8880203962326052.2671966552734375 -.4328262805938720722213365242131641 5 5161 5100000 0 0 0 0 1 0 0 0 0 0 112222 522133444343434244 43113 4 4 13 3 3 2 2224 566111110262000100 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 197311161 33431600000100100000000122223 4 3 31 412110000000000000000
   652021.52748692035675051.4155552387237549  2.099437475204467811313165226322131 2 2221 4100000 0 0 1 1 1 1 0 0 0 0 044444 444443432443444334 44111 1 6 33 4 3 2 3255 566111110222001000 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 6311111 13622100000100100000000122322 4 4 44 443400000000000000000
   68513 3.5829796791076663.6082417964935303  1.476628661155700714441665246663432 5 5153 1100000 0 0 0 0 1 0 0 0 0 0 112156 655551122424444343 14333 4 3 32 3 3 2 2244 661000110254000100 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 6312662 22532400000100000110000021223 3 3 44 323400000000000000000
   70203 1.872022271156311  .689109742641449   2.75144124031066911312265216352141 6 6653 1100000 0 0 1 0 1 0 0 0 0 0 133624 164442233334434134 44111 1 4 13 4 3 2 1211 166100010252000100 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1421261 33535300000100100000000122322 4 3 43 333300000000000000000
   76203 3.4156663417816161.1559098958969116   2.77575731277465811513365226221431 5 5351 3100000 1 0 0 0 0 0 0 0 0 0 125444 464553333444444444 44111 4 2 12 2 3 2 2324 362001000142000100 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 6311321 22221110000011000000000132333 4 4 43 433300000000000000000
